GRID_ID,P_Val,P_M,P_W,P_20_VAL,P_20_M,P_20_W,P_30_VAL,P_30_M,P_30_W,P_40_VAL,P_40_M,P_40_W,P_50_VAL,P_50_M,P_50_W,P_60_VAL,P_60_M,P_60_W,D_CSV,D_COFFEE,D_KFOOD,D_PHARM,D_SALON,SIDO_CD,SIDO_NM
다사406500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407458,455,229,226,43,29,14,46,21,25,88,40,48,65,34,31,55,25,30,0,0,0,0,0,11,서울특별시
다사407459,549,258,291,93,42,51,46,20,26,92,42,50,99,46,53,76,37,39,0,0,0,0,0,11,서울특별시
다사407460,248,117,131,23,12,11,20,7,13,56,25,31,36,20,16,28,14,14,0,0,0,0,0,11,서울특별시
다사407461,497,247,250,55,28,27,49,24,25,77,35,42,101,51,50,51,28,23,0,0,0,0,0,11,서울특별시
다사407462,354,172,182,52,25,27,9,0,0,55,20,35,76,41,35,22,11,11,1,2,0,0,1,11,서울특별시
다사407463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407464,294,140,154,31,14,17,35,10,25,63,31,32,43,20,23,40,16,24,0,0,0,0,0,11,서울특별시
다사407465,176,86,90,19,8,11,19,8,11,29,14,15,35,21,14,25,10,15,0,0,0,0,0,11,서울특별시
다사407466,138,66,72,18,9,9,9,0,0,26,13,13,25,12,13,15,7,8,0,0,0,0,0,11,서울특별시
다사407467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407472,570,280,290,61,28,33,72,39,33,59,33,26,98,44,54,132,56,76,0,0,0,0,0,11,서울특별시
다사407473,727,344,383,66,31,35,122,65,57,120,60,60,109,46,63,139,58,81,0,0,0,0,0,11,서울특별시
다사407474,254,124,130,23,7,16,39,25,14,50,30,20,42,18,24,46,22,24,0,0,0,0,0,11,서울특별시
다사407475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사407480,349,176,173,35,16,19,47,30,17,61,32,29,59,28,31,60,26,34,0,0,0,0,0,11,서울특별시
다사407481,365,179,186,52,25,27,49,25,24,46,30,16,56,23,33,68,40,28,0,0,0,0,0,11,서울특별시
